,Ticker,Breakdown,Recent,Before_1,Before_2,Before_3
1934,MDT,netIncomeFromContinuingOps,1317000000,769000000,1366000000,1279000000
1935,MDT,netIncomeApplicableToCommonShares,1311000000,763000000,1360000000,1270000000
1936,MGM,researchDevelopment,,,,
1937,MGM,effectOfAccountingCharges,,,,
1938,MGM,incomeBeforeTax,147239000,1620071000,125130000,-430636000
1939,MGM,minorityInterest,5053668000,4951787000,5034465000,4996700000
1940,MGM,netIncome,131013000,1350433000,104753000,-331829000
1941,MGM,sellingGeneralAdministrative,883104000,735389000,687079000,624444000
1942,MGM,grossProfit,1491903000,1315358000,1122310000,719960000
1943,MGM,ebit,308316000,299019000,151516000,-195040000
1944,MGM,operatingIncome,308316000,299019000,151516000,-195040000
1945,MGM,otherOperatingExpenses,,,,
1946,MGM,interestExpense,-195477000,-200049000,-208772000,-160295000
1947,MGM,extraordinaryItems,,,,
1948,MGM,nonRecurring,,,,
1949,MGM,otherItems,,,,
1950,MGM,incomeTaxExpense,31152000,282135000,34826000,-94698000
1951,MGM,totalRevenue,3048574000,2622968000,2192829000,1589686000
1952,MGM,totalOperatingExpenses,2740258000,2323949000,2041313000,1784726000
1953,MGM,costOfRevenue,1556671000,1307610000,1070519000,869726000
1954,MGM,totalOtherIncomeExpenseNet,-161077000,1321052000,-26386000,-235596000
1955,MGM,discontinuedOperations,,,,
1956,MGM,netIncomeFromContinuingOps,116087000,1337936000,90304000,-335938000
1957,MGM,netIncomeApplicableToCommonShares,106734000,1342853000,67742000,-341257000
1958,MMC,researchDevelopment,,,,
1959,MMC,effectOfAccountingCharges,,,,
1960,MMC,incomeBeforeTax,961000000,716000000,1209000000,1322000000
1961,MMC,minorityInterest,213000000,154000000,156000000,162000000
1962,MMC,netIncome,803000000,537000000,820000000,983000000
1963,MMC,sellingGeneralAdministrative,,,,
1964,MMC,grossProfit,2327000000,1799000000,2228000000,2349000000
1965,MMC,ebit,1154000000,809000000,1318000000,1452000000
1966,MMC,operatingIncome,1154000000,809000000,1318000000,1452000000
1967,MMC,otherOperatingExpenses,1173000000,990000000,910000000,897000000
1968,MMC,interestExpense,-109000000,-107000000,-110000000,-118000000
1969,MMC,extraordinaryItems,,,,
1970,MMC,nonRecurring,,,,
1971,MMC,otherItems,,,,
1972,MMC,incomeTaxExpense,154000000,174000000,382000000,324000000
1973,MMC,totalRevenue,5137000000,4583000000,5017000000,5083000000
1974,MMC,totalOperatingExpenses,3983000000,3774000000,3699000000,3631000000
1975,MMC,costOfRevenue,2810000000,2784000000,2789000000,2734000000
1976,MMC,totalOtherIncomeExpenseNet,-193000000,-93000000,-109000000,-130000000
1977,MMC,discontinuedOperations,,,,
1978,MMC,netIncomeFromContinuingOps,807000000,542000000,827000000,998000000
1979,MMC,netIncomeApplicableToCommonShares,803000000,537000000,820000000,983000000
1980,MPWR,researchDevelopment,49468000,44753000,41892000,42252000
1981,MPWR,effectOfAccountingCharges,,,,
1982,MPWR,incomeBeforeTax,77924000,63659000,48673000,44442000
1983,MPWR,minorityInterest,,,,
1984,MPWR,netIncome,68770000,55169000,45413000,42887000
1985,MPWR,sellingGeneralAdministrative,56291000,57238000,51453000,45120000
1986,MPWR,grossProfit,186311000,164215000,141059000,128874000
1987,MPWR,ebit,80552000,62224000,47714000,41502000
1988,MPWR,operatingIncome,80552000,62224000,47714000,41502000
1989,MPWR,otherOperatingExpenses,,,,
1990,MPWR,interestExpense,,,,
1991,MPWR,extraordinaryItems,,,,
1992,MPWR,nonRecurring,,,,
1993,MPWR,otherItems,,,,
1994,MPWR,incomeTaxExpense,9154000,8490000,3260000,1555000
1995,MPWR,totalRevenue,323522000,293317000,254455000,233043000
1996,MPWR,totalOperatingExpenses,242970000,231093000,206741000,191541000
1997,MPWR,costOfRevenue,137211000,129102000,113396000,104169000
1998,MPWR,totalOtherIncomeExpenseNet,-2628000,1435000,959000,2940000
1999,MPWR,discontinuedOperations,,,,
2000,MPWR,netIncomeFromContinuingOps,68770000,55169000,45413000,42887000
2001,MPWR,netIncomeApplicableToCommonShares,68770000,55169000,45413000,42887000
2002,MRK,researchDevelopment,2338000000,2354000000,2452000000,2617000000
2003,MRK,effectOfAccountingCharges,,,,
2004,MRK,incomeBeforeTax,5266000000,1717000000,2987000000,-1993000000
2005,MRK,minorityInterest,69000000,94000000,94000000,87000000
2006,MRK,netIncome,4567000000,1545000000,3179000000,-2094000000
2007,MRK,sellingGeneralAdministrative,2291000000,2169000000,2096000000,2993000000
2008,MRK,grossProfit,9752000000,8373000000,7643000000,8914000000
2009,MRK,ebit,5123000000,3850000000,3095000000,3304000000
2010,MRK,operatingIncome,5123000000,3850000000,3095000000,3304000000
2011,MRK,otherOperatingExpenses,,,,
2012,MRK,interestExpense,-196000000,-202000000,-199000000,-207000000
2013,MRK,extraordinaryItems,,,,
2014,MRK,nonRecurring,,,,
2015,MRK,otherItems,,,,
2016,MRK,incomeTaxExpense,695000000,503000000,238000000,98000000
2017,MRK,totalRevenue,13154000000,11402000000,10627000000,12515000000
2018,MRK,totalOperatingExpenses,8031000000,7552000000,7532000000,9211000000
2019,MRK,costOfRevenue,3402000000,3029000000,2984000000,3601000000
2020,MRK,totalOtherIncomeExpenseNet,143000000,-2133000000,-108000000,-5297000000
2021,MRK,discontinuedOperations,,332000000.0,434000000.0,434000000.0
2022,MRK,netIncomeFromContinuingOps,4571000000,1214000000,2749000000,-2091000000
2023,MRK,netIncomeApplicableToCommonShares,4567000000,1545000000,3179000000,-2094000000
2024,MRNA,researchDevelopment,,,,
2025,MRNA,effectOfAccountingCharges,,,,
2026,MRNA,incomeBeforeTax,3552000000,3063000000,1260000000,-271012000
2027,MRNA,minorityInterest,,,,
2028,MRNA,netIncome,3333000000,2780000000,1221000000,-272485000
2029,MRNA,sellingGeneralAdministrative,168000000,121000000,77000000,78990000
2030,MRNA,grossProfit,3726000000,3183000000,1343000000,-196048000
2031,MRNA,ebit,3558000000,3062000000,1266000000,-275038000
2032,MRNA,operatingIncome,3558000000,3062000000,1266000000,-275038000
2033,MRNA,otherOperatingExpenses,,,,
2034,MRNA,interestExpense,-4000000,-5000000,-3000000,-3508000
2035,MRNA,extraordinaryItems,,,,
2036,MRNA,nonRecurring,,,,
2037,MRNA,otherItems,,,,
2038,MRNA,incomeTaxExpense,219000000,283000000,39000000,1473000
2039,MRNA,totalRevenue,4969000000,4354000000,1937000000,570745000
2040,MRNA,totalOperatingExpenses,1411000000,1292000000,671000000,845783000
2041,MRNA,costOfRevenue,1243000000,1171000000,594000000,766793000
2042,MRNA,totalOtherIncomeExpenseNet,-6000000,1000000,-6000000,4026000
2043,MRNA,discontinuedOperations,,,,
